parameter,description,value
rlps_prob,Annual probability of relapse,0.71743574
rlps_rr_ami_pla,Risk ratio of relapse by treatment: amisulpride oral vs. placebo,0.192592593
rlps_rr_ari_pla,Risk ratio of relapse by treatment: aripiprazole oral vs. placebo,0.32
rlps_rr_car_pla,Risk ratio of relapse by treatment: cariprazine oral vs. placebo,0.65
rlps_rr_lur_pla,Risk ratio of relapse by treatment: lurasidone oral vs. placebo,0.63
rlps_rr_ola_pla,Risk ratio of relapse by treatment: olanzapine oral vs. placebo,0.2
rlps_rr_que_pla,Risk ratio of relapse by treatment: quetiapine oral vs. placebo,0.47
rlps_rr_ris_pla,Risk ratio of relapse by treatment: risperidone oral vs. placebo,0.29
rlps_rr_clo_pla,Risk ratio of relapse by treatment: clozapine oral vs. placebo,0.0594
rlps_rr_ari2_pla,Risk ratio of relapse by treatment: aripiprazole LAI vs. placebo,0.32
rlps_rr_pal2_pla,Risk ratio of relapse by treatment: paliperidone LAI vs. placebo,0.31
rlps_rr_ris2_pla,Risk ratio of relapse by treatment: risperidone LAI vs. placebo,0.25
rlps_hr_cmp_part_full,Hazard ratio of relapse by compliance: partial vs. full,1.785185185
rlps_hr_cmp_none_full,Hazard ratio of relapse by compliance: none vs. full,2.585185185
rcvr_time,"Duration of relapse, years",0.5
discon_ami_prob,Annual probability of discontinuation using amisulpride oral,0.247319216
discon_ari_prob,Annual probability of discontinuation using aripiprazole oral,0.458980365
discon_car_prob,Annual probability of discontinuation using cariprazine oral,0.611973819
discon_lur_prob,Annual probability of discontinuation using lurasidone oral,0.512528074
discon_ola_prob,Annual probability of discontinuation using olanzapine oral,0.267738546
discon_que_prob,Annual probability of discontinuation using quetiapine oral,0.420732001
discon_ris_prob,Annual probability of discontinuation using risperidone oral,0.30598691
discon_clo_prob,Annual probability of discontinuation using clozapine oral,0.327979719
discon_ari2_prob,Annual probability of discontinuation using aripiprazole LAI,0.359534619
discon_pal2_prob,Annual probability of discontinuation using paliperidone LAI,0.428381674
discon_ris2_prob,Annual probability of discontinuation using risperidone LAI,0.344235273
switch_rlps_prop,Proportion of switch after relapse,0.5
eps_ami_prop,Proportion of acute EPS using amisulpride oral,0.28259234
eps_ari_prop,Proportion of acute EPS using aripiprazole oral,0.414079644
eps_car_prop,Proportion of acute EPS using cariprazine oral,0.357369789
eps_lur_prop,Proportion of acute EPS using lurasidone oral,0.188733735
eps_ola_prop,Proportion of acute EPS using olanzapine oral,0.043361325
eps_que_prop,Proportion of acute EPS using quetiapine oral,0.211470449
eps_ris_prop,Proportion of acute EPS using risperidone oral,0.258112607
eps_clo_prop,Proportion of acute EPS using clozapine oral,0.064995097
eps_ari2_prop,Proportion of acute EPS using aripiprazole LAI,0.451324766
eps_pal2_prop,Proportion of acute EPS using paliperidone LAI,0.350168858
eps_ris2_prop,Proportion of acute EPS using risperidone LAI,0.270781297
wg_ami_prop,Proportion of weight gain using amisulpride oral,0.271179523
wg_ari_prop,Proportion of weight gain using aripiprazole oral,0.128509926
wg_car_prop,Proportion of weight gain using cariprazine oral,0.206
wg_lur_prop,Proportion of weight gain using lurasidone oral,0.188679245
wg_ola_prop,Proportion of weight gain using olanzapine oral,0.364118477
wg_que_prop,Proportion of weight gain using quetiapine oral,0.4
wg_ris_prop,Proportion of weight gain using risperidone oral,0.178914525
wg_clo_prop,Proportion of weight gain using clozapine oral,0.256
wg_ari2_prop,Proportion of weight gain using aripiprazole LAI,0.128509926
wg_pal2_prop,Proportion of weight gain using paliperidone LAI,0.177347439
wg_ris2_prop,Proportion of weight gain using risperidone LAI,0.178914525
sdtn_ami_prop,Proportion of sedation using amisulpride oral,0.028163427
sdtn_ari_prop,Proportion of sedation using aripiprazole oral,0.014
sdtn_car_prop,Proportion of sedation using cariprazine oral,0.01
sdtn_lur_prop,Proportion of sedation using lurasidone oral,0.0242
sdtn_ola_prop,Proportion of sedation using olanzapine oral,0.0296
sdtn_que_prop,Proportion of sedation using quetiapine oral,0.056
sdtn_ris_prop,Proportion of sedation using risperidone oral,0.0236
sdtn_clo_prop,Proportion of sedation using clozapine oral,0.152542373
sdtn_ari2_prop,Proportion of sedation using aripiprazole LAI,0.0434
sdtn_pal2_prop,Proportion of sedation using paliperidone LAI,0.035
sdtn_ris2_prop,Proportion of sedation using risperidone LAI,0.0148
sxdf_ami_prop,Proportion of sexual dysfunction using amisulpride oral,0.027522936
sxdf_ari_prop,Proportion of sexual dysfunction using aripiprazole oral,0.274193548
sxdf_car_prop,Proportion of sexual dysfunction using cariprazine oral,0.009765625
sxdf_lur_prop,Proportion of sexual dysfunction using lurasidone oral,0
sxdf_ola_prop,Proportion of sexual dysfunction using olanzapine oral,0.403578529
sxdf_que_prop,Proportion of sexual dysfunction using quetiapine oral,0.147302905
sxdf_ris_prop,Proportion of sexual dysfunction using risperidone oral,0.454258675
sxdf_clo_prop,Proportion of sexual dysfunction using clozapine oral,0.527272727
sxdf_ari2_prop,Proportion of sexual dysfunction using aripiprazole LAI,0.274193548
sxdf_pal2_prop,Proportion of sexual dysfunction using paliperidone LAI,0.565723794
sxdf_ris2_prop,Proportion of sexual dysfunction using risperidone LAI,0.454258675
td_ami_prob,Annual probability of tardive dyskinesia using amisulpride oral,0.02371429
td_ari_prob,Annual probability of tardive dyskinesia using aripiprazole oral,0.016856315
td_car_prob,Annual probability of tardive dyskinesia using cariprazine oral,0.046866213
td_lur_prob,Annual probability of tardive dyskinesia using lurasidone oral,0.046866213
td_ola_prob,Annual probability of tardive dyskinesia using olanzapine oral,0.028583536
td_que_prob,Annual probability of tardive dyskinesia using quetiapine oral,0.024690088
td_ris_prob,Annual probability of tardive dyskinesia using risperidone oral,0.02371429
td_clo_prob,Annual probability of tardive dyskinesia using clozapine oral,0.041130219
td_ari2_prob,Annual probability of tardive dyskinesia using aripiprazole LAI,0.016856315
td_pal2_prob,Annual probability of tardive dyskinesia using paliperidone LAI,0.02371429
td_ris2_prob,Annual probability of tardive dyskinesia using risperidone LAI,0.02371429
agc_clo_prop,Proportion of agranulocytosis using clozapine,0.007288401
bmi_md_ami_pla,Mean difference of BMI (kg/m2) by treatment: amisulpride oral vs. placebo,1.66
bmi_md_ari_pla,Mean difference of BMI (kg/m2) by treatment: aripiprazole oral vs. placebo,-0.22
bmi_md_car_pla,Mean difference of BMI (kg/m2) by treatment: cariprazine oral vs. placebo,0.83
bmi_md_lur_pla,Mean difference of BMI (kg/m2) by treatment: lurasidone oral vs. placebo,0.24
bmi_md_ola_pla,Mean difference of BMI (kg/m2) by treatment: olanzapine oral vs. placebo,1.07
bmi_md_que_pla,Mean difference of BMI (kg/m2) by treatment: quetiapine oral vs. placebo,0.7
bmi_md_ris_pla,Mean difference of BMI (kg/m2) by treatment: risperidone oral vs. placebo,0.56
bmi_md_clo_pla,Mean difference of BMI (kg/m2) by treatment: clozapine oral vs. placebo,1.02
bmi_md_ari2_pla,Mean difference of BMI (kg/m2) by treatment: aripiprazole LAI vs. placebo,-0.22
bmi_md_pal2_pla,Mean difference of BMI (kg/m2) by treatment: paliperidone LAI vs. placebo,0.56
bmi_md_ris2_pla,Mean difference of BMI (kg/m2) by treatment: risperidone LAI vs. placebo,0.56
tch_md_ami_pla,Mean difference of total cholesterol (mg/dL) by treatment: amisulpride oral vs. placebo,8.108108108
tch_md_ari_pla,Mean difference of total cholesterol (mg/dL) by treatment: aripiprazole oral vs. placebo,2.316602317
tch_md_car_pla,Mean difference of total cholesterol (mg/dL) by treatment: cariprazine oral vs. placebo,-3.474903475
tch_md_lur_pla,Mean difference of total cholesterol (mg/dL) by treatment: lurasidone oral vs. placebo,-1.158301158
tch_md_ola_pla,Mean difference of total cholesterol (mg/dL) by treatment: olanzapine oral vs. placebo,15.44401544
tch_md_que_pla,Mean difference of total cholesterol (mg/dL) by treatment: quetiapine oral vs. placebo,11.96911197
tch_md_ris_pla,Mean difference of total cholesterol (mg/dL) by treatment: risperidone oral vs. placebo,2.316602317
tch_md_clo_pla,Mean difference of total cholesterol (mg/dL) by treatment: clozapine oral vs. placebo,21.62162162
tch_md_ari2_pla,Mean difference of total cholesterol (mg/dL) by treatment: aripiprazole LAI vs. placebo,2.316602317
tch_md_pal2_pla,Mean difference of total cholesterol (mg/dL) by treatment: paliperidone LAI vs. placebo,2.316602317
tch_md_ris2_pla,Mean difference of total cholesterol (mg/dL) by treatment: risperidone LAI vs. placebo,2.316602317
hdl_md_ami_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: amisulpride oral vs. placebo,-3.861003861
hdl_md_ari_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: aripiprazole oral vs. placebo,1.544401544
hdl_md_car_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: cariprazine oral vs. placebo,0.772200772
hdl_md_lur_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: lurasidone oral vs. placebo,0.772200772
hdl_md_ola_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: olanzapine oral vs. placebo,-0.386100386
hdl_md_que_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: quetiapine oral vs. placebo,0.386100386
hdl_md_ris_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: risperidone oral vs. placebo,0.386100386
hdl_md_clo_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: clozapine oral vs. placebo,-4.48
hdl_md_ari2_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: aripiprazole LAI vs. placebo,1.544401544
hdl_md_pal2_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: paliperidone LAI vs. placebo,0.386100386
hdl_md_ris2_pla,Mean difference of HDL cholesterol (mg/dL) by treatment: risperidone LAI vs. placebo,0.386100386
tri_md_ami_pla,Mean difference of triglycerides (mg/dL) by treatment: amisulpride oral vs. placebo,7.96460177
tri_md_ari_pla,Mean difference of triglycerides (mg/dL) by treatment: aripiprazole oral vs. placebo,1.769911504
tri_md_car_pla,Mean difference of triglycerides (mg/dL) by treatment: cariprazine oral vs. placebo,0.884955752
tri_md_lur_pla,Mean difference of triglycerides (mg/dL) by treatment: lurasidone oral vs. placebo,0
tri_md_ola_pla,Mean difference of triglycerides (mg/dL) by treatment: olanzapine oral vs. placebo,40.7079646
tri_md_que_pla,Mean difference of triglycerides (mg/dL) by treatment: quetiapine oral vs. placebo,28.31858407
tri_md_ris_pla,Mean difference of triglycerides (mg/dL) by treatment: risperidone oral vs. placebo,3.539823009
tri_md_clo_pla,Mean difference of triglycerides (mg/dL) by treatment: clozapine oral vs. placebo,86.72566372
tri_md_ari2_pla,Mean difference of triglycerides (mg/dL) by treatment: aripiprazole LAI vs. placebo,1.769911504
tri_md_pal2_pla,Mean difference of triglycerides (mg/dL) by treatment: paliperidone LAI vs. placebo,3.539823009
tri_md_ris2_pla,Mean difference of triglycerides (mg/dL) by treatment: risperidone LAI vs. placebo,3.539823009
glu_md_ami_pla,Mean difference of fasting glucose (mg/dL) by treatment: amisulpride oral vs. placebo,-8.288288288
glu_md_ari_pla,Mean difference of fasting glucose (mg/dL) by treatment: aripiprazole oral vs. placebo,2.342342342
glu_md_car_pla,Mean difference of fasting glucose (mg/dL) by treatment: cariprazine oral vs. placebo,4.684684685
glu_md_lur_pla,Mean difference of fasting glucose (mg/dL) by treatment: lurasidone oral vs. placebo,-5.225225225
glu_md_ola_pla,Mean difference of fasting glucose (mg/dL) by treatment: olanzapine oral vs. placebo,3.603603604
glu_md_que_pla,Mean difference of fasting glucose (mg/dL) by treatment: quetiapine oral vs. placebo,1.621621622
glu_md_ris_pla,Mean difference of fasting glucose (mg/dL) by treatment: risperidone oral vs. placebo,1.441441441
glu_md_clo_pla,Mean difference of fasting glucose (mg/dL) by treatment: clozapine oral vs. placebo,18.91891892
glu_md_ari2_pla,Mean difference of fasting glucose (mg/dL) by treatment: aripiprazole LAI vs. placebo,2.342342342
glu_md_pal2_pla,Mean difference of fasting glucose (mg/dL) by treatment: paliperidone LAI vs. placebo,1.441441441
glu_md_ris2_pla,Mean difference of fasting glucose (mg/dL) by treatment: risperidone LAI vs. placebo,1.441441441
sbp_md_ami_pla,Mean difference of SBP (mmHg) by treatment: amisulpride oral vs. placebo,1.17
sbp_md_ari_pla,Mean difference of SBP (mmHg) by treatment: aripiprazole oral vs. placebo,0.84
sbp_md_car_pla,Mean difference of SBP (mmHg) by treatment: cariprazine oral vs. placebo,4.17
sbp_md_lur_pla,Mean difference of SBP (mmHg) by treatment: lurasidone oral vs. placebo,-1.59
sbp_md_ola_pla,Mean difference of SBP (mmHg) by treatment: olanzapine oral vs. placebo,1.28
sbp_md_que_pla,Mean difference of SBP (mmHg) by treatment: quetiapine oral vs. placebo,2.6
sbp_md_ris_pla,Mean difference of SBP (mmHg) by treatment: risperidone oral vs. placebo,2.6
sbp_md_clo_pla,Mean difference of SBP (mmHg) by treatment: clozapine oral vs. placebo,3.9
sbp_md_ari2_pla,Mean difference of SBP (mmHg) by treatment: aripiprazole LAI vs. placebo,0.84
sbp_md_pal2_pla,Mean difference of SBP (mmHg) by treatment: paliperidone LAI vs. placebo,2.6
sbp_md_ris2_pla,Mean difference of SBP (mmHg) by treatment: risperidone LAI vs. placebo,2.6
db_logit_intercept,Intercept of logistic regression of diabetes,-5.517
db_or_age_50t64,"Odds ratio of diabetes by age (50-64 vs. <50, year)",0.98
db_or_age_65,"Odds ratio of diabetes by age (>=65 vs. <50, year)",0.92
db_or_male,Odds ratio of diabetes by male,0.99
db_or_pardb,Odds ratio of diabetes by parental diabetes (yes vs. no),1.76
db_or_bmi_25t30,"Odds ratio of diabetes by BMI (25-30 vs. <25, kg/m2)",1.35
db_or_bmi_30,"Odds ratio of diabetes by BMI (?30 vs. <25, kg/m2 )",2.5
db_or_sbp_int_atht,Odds ratio of diabetes by SBP > 130/85 mmHg OR receiving therapy,1.65
db_or_hdl_int_sex,Odds ratio of diabetes by HDL (men: < 40 mg/dL; women: <50 mg/dL),2.57
db_or_tri_150,Odds ratio of diabetes by triglyceride level >= 150 mg/dL,1.78
db_or_glu_100,Odds ratio of diabetes by fasting glucose level >= 100 mg/dL,7.25
chd1_m_aft_weibull_intercept,Intercept of accelerated failure time weibull model of incident CHD in male,12.7868
chd1_m_ar_age,Accelerated ratio of incident CHD in male by age (year),0.960309165
chd1_m_ar_tch_int_hdl,Accelerated ratio of incident CHD in male by ln (total cholesterol/HDL),0.386973138
chd1_m_ar_sbp,Accelerated ratio of incident CHD in male by ln (SBP) (lnmmHg),0.361931613
chd1_m_ar_sbp_int_atht,"Accelerated ratio of incident CHD in male by If antihypertensive, (200 - SBP) * (SBP - 110) / 100 (mmHg)",0.984028912
chd1_m_ar_db,Accelerated ratio of incident CHD in male by diabetes,0.643264041
chd1_m_ar_smk,Accelerated ratio of incident CHD in male by current smoker,0.546511461
chd1_m_aft_weibull_scale,Scale of accelerated failure time weibull model of incident CHD in male,0.7764
chd1_f_aft_weibull_intercept,Intercept of accelerated failure time weibull model of incident CHD in female,20.9717
chd1_f_ar_age,Accelerated ratio of incident CHD in female by age (year),0.939788903
chd1_f_ar_meno,Accelerated ratio of incident CHD in female by menopause,0.021232972
